id,category,name,brand,retailer,aesthetics,palettes,warmth_min,warmth_max,occasions,colors,shape,search_url
o22,outerwear,"Metallic puffer, chrome silver",Rains,rains.com,streetwear|edgy|eclectic,cool,-5,40,casual|night,#C7C7CD,outer-shell,https://www.rains.com/search?q=puffer
h9,headwear,"Bow headband, black velvet",Jennifer Behr,jenniferbehr.com,romantic|eclectic,neutrals|bold,40,95,date|dinner|wedding-guest|gallery,#1B1418,head-beret,https://www.jenniferbehr.com/search?q=bow+headband
h10,headwear,"Silk scarf, printed brown/cream",Hermès (vintage),grailed.com,romantic|eclectic|minimalist,earth|neutrals,45,95,date|dinner|gallery,#5A3A22|#F0E8CE,head-beret,https://www.grailed.com/shop?category=women&search=hermes+silk+scarf
j13,jewelry,Pearl + chain hybrid necklace,Jenny Bird,jenny-bird.com,romantic|minimalist|eclectic,neutrals|earth,0,120,date|dinner|gallery|work,#F4EEDC|#D9A44F,jew-chain,https://www.jenny-bird.com/search?q=pearl+chain
j14,jewelry,"Bow charm necklace, gold",Ben-Amun,ben-amun.com,romantic|eclectic,neutrals|earth,0,120,date|dinner|wedding-guest,#D9A44F,jew-chain,https://ben-amun.com/search?q=bow+necklace
g8,bag,"Suede fringed hobo, cognac",Chloé,chloe.com,romantic|eclectic,earth,45,95,casual|date|dinner|gallery,#8A5A3B,bag-tote,https://www.chloe.com/us/search?q=fringed+hobo
g9,bag,"Phone-strap crossbody, butter leather",Bottega Veneta,bottegaveneta.com,minimalist|eclectic|romantic,neutrals,0,120,casual|date|dinner|night,#F0DFA0,bag-cross,https://www.bottegaveneta.com/en-us/search?q=phone+bag
g10,bag,"Oversized tote, chocolate suede",The Row,therow.com,minimalist|eclectic|romantic,earth,35,90,work|gallery|casual,#4E322A,bag-tote,https://www.therow.com/search?q=oversized+tote
op1,onepiece,"Wide-leg jumpsuit, black crepe",Norma Kamali,normakamali.com,minimalist|edgy|eclectic,neutrals,55,88,dinner|gallery|wedding-guest|work,#1B1418,onepiece-jumpsuit,https://www.normakamali.com/search?q=jumpsuit
op2,onepiece,"Utility jumpsuit, olive",Alex Mill,alexmill.com,streetwear|minimalist|eclectic,earth,55,85,casual|gallery,#5F5A3E,onepiece-jumpsuit,https://www.alexmill.com/search?q=jumpsuit
op3,onepiece,"Linen romper, butter",Faithfull the Brand,faithfullthebrand.com,romantic|eclectic|preppy,neutrals|earth,70,105,casual|date,#F0DFA0,onepiece-romper,https://faithfullthebrand.com/search?q=romper
op4,onepiece,"Cotton overalls, indigo",Madewell,madewell.com,streetwear|romantic|eclectic|preppy,cool|neutrals,52,82,casual|date,#4B5F7A,onepiece-overalls,https://www.madewell.com/search?q=overalls
op5,onepiece,"Halter jumpsuit, oxblood satin",Reformation,thereformation.com,romantic|edgy|eclectic,bold|earth,62,92,dinner|night|wedding-guest|date,#5C1A20,onepiece-jumpsuit,https://www.thereformation.com/search?q=jumpsuit
op6,onepiece,"Tailored short romper, cream",Sézane,sezane.com,romantic|minimalist|preppy,neutrals,65,95,casual|date|dinner|gallery,#F4EEDC,onepiece-romper,https://www.sezane.com/us/search?q=romper
s20,shoes,"Chunky lug loafer, black",Prada,prada.com,edgy|preppy|minimalist|eclectic,neutrals,38,90,work|dinner|gallery|date|casual,#1B1418,shoe-chunky,https://www.prada.com/us/en/search?q=chunky+loafer
s21,shoes,"Platform penny loafer, oxblood",Miu Miu,miumiu.com,preppy|romantic|eclectic,bold|earth,38,88,dinner|gallery|date|work,#5C1A20,shoe-chunky,https://www.miumiu.com/us/en/search?q=platform+loafer
s22,shoes,"New Balance 550, cream/green",New Balance,newbalance.com,streetwear|preppy|eclectic|minimalist,neutrals|earth,38,95,casual|date,#F4EEDC|#2E4A38,shoe-runner,https://www.newbalance.com/pd/550
s23,shoes,"New Balance 2002R, mushroom",New Balance,newbalance.com,streetwear|minimalist|eclectic,neutrals|earth,35,90,casual,#B8AA95,shoe-runner,https://www.newbalance.com/pd/2002r
s24,shoes,"Salomon XT-6, silver/black",Salomon,salomon.com,streetwear|edgy|eclectic,cool|neutrals,30,85,casual,#C7C7CD|#1B1418,shoe-runner,https://www.salomon.com/en-us/search?q=xt-6
s25,shoes,"Mary Jane flat, black patent",Miu Miu,miumiu.com,romantic|preppy|eclectic|edgy,neutrals,45,88,work|dinner|date|gallery|wedding-guest,#1B1418,shoe-ballet,https://www.miumiu.com/us/en/search?q=mary+jane
s26,shoes,"Jelly flat sandal, clear",The Row,therow.com,minimalist|eclectic|romantic,neutrals,72,105,casual|date,#DDD8CC,shoe-sandal,https://www.therow.com/search?q=jelly
s27,shoes,"Chunky Chelsea boot, black",Alexander McQueen,alexandermcqueen.com,edgy|eclectic|minimalist,neutrals,15,58,night|concert|date|casual|dinner,#1B1418,shoe-boot,https://www.alexandermcqueen.com/en-us/search?q=chelsea+boot
s28,shoes,"Adidas SL 72, blue/yellow",Adidas,adidas.com,streetwear|eclectic|preppy,cool|bold,42,95,casual|date,#4B5F7A|#F0DFA0,shoe-runner,https://www.adidas.com/us/search?q=sl+72
s29,shoes,"Platform sandal, black lug",Prada,prada.com,edgy|eclectic|streetwear,neutrals,68,105,casual|night|date,#1B1418,shoe-chunky,https://www.prada.com/us/en/search?q=platform+sandal
sc1,scarf,"Chunky wool scarf, oatmeal",Acne Studios,acnestudios.com,minimalist|edgy|streetwear|preppy|romantic,neutrals|earth,-15,45,casual|work|dinner|gallery|date,#E4D3B0,scarf-winter,https://www.acnestudios.com/us/en/search?q=wool+scarf
sc2,scarf,"Cashmere scarf, charcoal",Naadam,naadam.co,minimalist|edgy|preppy,neutrals|cool,-10,48,work|dinner|gallery|date,#33383F,scarf-winter,https://naadam.co/search?q=cashmere+scarf
sc3,scarf,"Cable-knit scarf, cherry red",Sporty & Rich,sportyandrich.com,preppy|streetwear|eclectic|romantic,bold|neutrals,-10,45,casual|date,#B01A2E,scarf-winter,https://sportyandrich.com/search?q=knit+scarf
sc4,scarf,"Plaid blanket scarf, forest/cream",Acne Studios,acnestudios.com,preppy|eclectic|romantic|minimalist,earth|neutrals|cool,-10,48,casual|date|gallery,#1E3A2E|#F4EEDC,scarf-winter,https://www.acnestudios.com/us/en/search?q=plaid+scarf
sc5,scarf,"Lightweight linen scarf, sage",& Other Stories,stories.com,romantic|minimalist|eclectic,earth|neutrals,50,78,casual|date|gallery,#A5B098,scarf-light,https://www.stories.com/en_usd/search.html?q=linen+scarf
n1,neck,"Silk twilly, printed floral",Hermès (vintage),grailed.com,romantic|preppy|eclectic,bold|earth|neutrals,45,100,work|dinner|date|gallery,#D9A44F|#B23A2E,neck-scarf,https://www.grailed.com/shop?category=women&search=hermes+twilly
n2,neck,"Silk neckerchief, cream/navy",& Other Stories,stories.com,preppy|romantic|minimalist|eclectic,neutrals|cool,45,100,casual|work|date|dinner,#F4EEDC|#1E2A44,neck-scarf,https://www.stories.com/en_usd/search.html?q=neckerchief
n3,neck,"Cotton bandana, black paisley",RRL Ralph Lauren,ralphlauren.com,streetwear|edgy|eclectic,neutrals|cool,50,105,casual|night|concert|date,#1B1418,bandana,https://www.ralphlauren.com/search?q=bandana
n4,neck,"Skinny tie, black satin",Saint Laurent,ysl.com,edgy|minimalist,neutrals,35,90,night|dinner|concert|work,#1B1418,neck-tie,https://www.ysl.com/en-us/search?q=tie
n5,neck,"Wide silk tie, oxblood",Drake's,drakes.com,preppy|eclectic,bold|earth,35,90,work|dinner|wedding-guest,#5C1A20,neck-tie,https://www.drakes.com/search?q=tie
gl1,gloves,"Leather gloves, cashmere-lined black",Aris Gloves,arisgloves.com,minimalist|edgy|preppy|romantic,neutrals,-15,40,work|dinner|gallery|date|casual,#1B1418,gloves,https://arisgloves.com/search?q=cashmere+lined
gl2,gloves,"Knit gloves, oatmeal",Uniqlo Heattech,uniqlo.com,minimalist|streetwear|preppy,neutrals|earth,-15,42,casual,#E4D3B0,gloves,https://www.uniqlo.com/us/en/search?q=heattech+glove
gl3,gloves,"Leather driving gloves, cognac",Hestra,hestragloves.com,preppy|minimalist|eclectic,earth|neutrals,25,55,casual|work|date|gallery,#8A5A3B,gloves,https://www.hestragloves.com/search?q=driving+glove
su1,sunglasses,Black cat-eye acetate,Celine,celine.com,minimalist|edgy|romantic|eclectic,neutrals,45,120,casual|dinner|date|gallery,#1B1418,sunglasses,https://www.celine.com/en-us/search?q=sunglasses
su2,sunglasses,"Wire aviators, gold",Ray-Ban,ray-ban.com,streetwear|eclectic|preppy|minimalist,neutrals|earth,45,120,casual|date,#D9A44F,sunglasses,https://www.ray-ban.com/usa/search?q=aviator
su3,sunglasses,"Oversized square, tortoise",Miu Miu,miumiu.com,romantic|preppy|eclectic,earth|neutrals,45,120,casual|date|gallery|dinner,#5A3A22,sunglasses,https://www.miumiu.com/us/en/search?q=sunglasses
su4,sunglasses,"Sporty wraparound, silver mirror",Oakley,oakley.com,streetwear|edgy|eclectic,cool,55,120,casual,#C7C7CD,sunglasses,https://www.oakley.com/en-us/search?q=sunglasses
